Date,Last Price
05/01/2021,12818.96
04/01/2021,12698.45
31/12/2020,12888.28
30/12/2020,12870
29/12/2020,12850.22
28/12/2020,12899.42
24/12/2020,12804.73
23/12/2020,12771.11
22/12/2020,12807.92
21/12/2020,12742.52
18/12/2020,12755.64
17/12/2020,12764.75
16/12/2020,12658.19
15/12/2020,12595.06
14/12/2020,12440.04
11/12/2020,12377.87
10/12/2020,12405.81
09/12/2020,12338.95
08/12/2020,12582.77
07/12/2020,12519.95
04/12/2020,12464.23
03/12/2020,12377.18
02/12/2020,12349.37
01/12/2020,12355.11
30/11/2020,12198.74
27/11/2020,12205.85
25/11/2020,12094.4
24/11/2020,12036.79
23/11/2020,11880.63
20/11/2020,11854.97
19/11/2020,11904.71
18/11/2020,11801.6
17/11/2020,11899.34
16/11/2020,11924.13
13/11/2020,11829.29
12/11/2020,11709.59
11/11/2020,11786.43
10/11/2020,11553.86
09/11/2020,11713.78
06/11/2020,11895.23
05/11/2020,11890.93
04/11/2020,11590.78
03/11/2020,11160.57
02/11/2020,10957.61
30/10/2020,10911.59
29/10/2020,11185.59
28/10/2020,11004.87
27/10/2020,11431.35
26/10/2020,11358.94
23/10/2020,11548.28
22/10/2020,11506.01
21/10/2020,11484.69
20/10/2020,11516.49
19/10/2020,11478.88
16/10/2020,11671.56
15/10/2020,11713.87
14/10/2020,11768.73
13/10/2020,11863.9
12/10/2020,11876.26
09/10/2020,11579.94
08/10/2020,11420.98
07/10/2020,11364.6
06/10/2020,11154.6
05/10/2020,11332.49
02/10/2020,11075.02
01/10/2020,11326.51
30/09/2020,11167.51
29/09/2020,11085.25
28/09/2020,11117.53
25/09/2020,10913.56
24/09/2020,10672.27
23/09/2020,10632.99
22/09/2020,10963.64
21/09/2020,10778.8
18/09/2020,10793.28
17/09/2020,10910.28
16/09/2020,11050.47
15/09/2020,11190.32
14/09/2020,11056.65
11/09/2020,10853.54
10/09/2020,10919.59
09/09/2020,11141.56
08/09/2020,10847.69
04/09/2020,11313.13
03/09/2020,11458.1
02/09/2020,12056.44
01/09/2020,11939.67
31/08/2020,11775.46
28/08/2020,11695.63
27/08/2020,11625.34
26/08/2020,11665.06
25/08/2020,11466.47
24/08/2020,11379.72
21/08/2020,11311.8
20/08/2020,11264.95
19/08/2020,11146.46
18/08/2020,11210.84
17/08/2020,11129.73
14/08/2020,11019.3
13/08/2020,11042.5
12/08/2020,11012.24
11/08/2020,10782.82
10/08/2020,10968.36
07/08/2020,11010.98
06/08/2020,11108.07
05/08/2020,10998.4
04/08/2020,10941.17
03/08/2020,10902.8
31/07/2020,10745.27
30/07/2020,10587.81
29/07/2020,10542.94
28/07/2020,10402.09
27/07/2020,10536.27
24/07/2020,10363.18
23/07/2020,10461.42
22/07/2020,10706.13
21/07/2020,10680.36
20/07/2020,10767.09
17/07/2020,10503.19
16/07/2020,10473.83
15/07/2020,10550.49
14/07/2020,10488.58
13/07/2020,10390.84
10/07/2020,10617.44
09/07/2020,10547.75
08/07/2020,10492.5
07/07/2020,10343.89
06/07/2020,10433.65
02/07/2020,10207.63
01/07/2020,10154.63
30/06/2020,10058.77
29/06/2020,9874.15
26/06/2020,9757.22
25/06/2020,10017
24/06/2020,9909.17
23/06/2020,10131.37
22/06/2020,10056.47
19/06/2020,9946.12
18/06/2020,9943.05
17/06/2020,9910.53
16/06/2020,9895.87
15/06/2020,9726.02
12/06/2020,9588.81
11/06/2020,9492.73
10/06/2020,10020.35
09/06/2020,9953.75
08/06/2020,9924.75
05/06/2020,9814.08
04/06/2020,9615.81
03/06/2020,9682.91
02/06/2020,9608.38
01/06/2020,9552.05
29/05/2020,9489.87
28/05/2020,9368.99
27/05/2020,9412.36
26/05/2020,9340.22
22/05/2020,9324.59
21/05/2020,9284.88
20/05/2020,9375.78
19/05/2020,9185.1
18/05/2020,9234.83
15/05/2020,9014.56
14/05/2020,8943.72
13/05/2020,8863.17
12/05/2020,9002.55
11/05/2020,9192.34
08/05/2020,9121.32
07/05/2020,8979.66
06/05/2020,8854.39
05/05/2020,8809.12
04/05/2020,8710.72
01/05/2020,8604.95
30/04/2020,8889.55
29/04/2020,8914.71
28/04/2020,8607.73
27/04/2020,8730.16
24/04/2020,8634.52
23/04/2020,8494.75
22/04/2020,8495.38
21/04/2020,8263.23
20/04/2020,8560.73
17/04/2020,8650.14
16/04/2020,8532.36
15/04/2020,8393.18
14/04/2020,8515.74
13/04/2020,8192.42
09/04/2020,8153.58
08/04/2020,8090.9
07/04/2020,7887.26
06/04/2020,7913.24
03/04/2020,7373.08
02/04/2020,7487.31
01/04/2020,7360.58
31/03/2020,7700.1
30/03/2020,7774.15
27/03/2020,7502.38
26/03/2020,7797.54
25/03/2020,7384.3
24/03/2020,7417.86
23/03/2020,6860.67
20/03/2020,6879.52
19/03/2020,7150.58
18/03/2020,6989.84
17/03/2020,7334.78
16/03/2020,6904.59
13/03/2020,7874.88
12/03/2020,7201.8
11/03/2020,7952.05
10/03/2020,8344.25
09/03/2020,7950.68
06/03/2020,8575.62
05/03/2020,8738.59
04/03/2020,9018.09
03/03/2020,8684.09
02/03/2020,8952.17
28/02/2020,8567.37
27/02/2020,8566.48
26/02/2020,8980.77
25/02/2020,8965.61
24/02/2020,9221.28
21/02/2020,9576.59
20/02/2020,9750.97
19/02/2020,9817.18
18/02/2020,9732.74
14/02/2020,9731.18
13/02/2020,9711.97
12/02/2020,9725.96
11/02/2020,9638.94
10/02/2020,9628.39
07/02/2020,9520.51
06/02/2020,9572.15
05/02/2020,9508.68
04/02/2020,9467.97
03/02/2020,9273.4
31/01/2020,9150.94
30/01/2020,9298.93
29/01/2020,9275.16
28/01/2020,9269.68
27/01/2020,9139.31
24/01/2020,9314.91
23/01/2020,9402.48
22/01/2020,9383.77
21/01/2020,9370.81
17/01/2020,9388.94
16/01/2020,9357.13
15/01/2020,9258.7
14/01/2020,9251.33
13/01/2020,9273.93
10/01/2020,9178.86
09/01/2020,9203.43
08/01/2020,9129.24
07/01/2020,9068.58
06/01/2020,9071.47
03/01/2020,9020.77
02/01/2020,9092.19
31/12/2019,8972.6
30/12/2019,8945.99
27/12/2019,9006.62
26/12/2019,9022.39
24/12/2019,8952.88
23/12/2019,8945.65
20/12/2019,8924.96
19/12/2019,8887.22
18/12/2019,8827.73
17/12/2019,8823.36
16/12/2019,8814.23
13/12/2019,8734.88
12/12/2019,8717.32
11/12/2019,8654.05
10/12/2019,8616.18
09/12/2019,8621.83
06/12/2019,8656.53
05/12/2019,8570.7
04/12/2019,8566.67
03/12/2019,8520.64
02/12/2019,8567.99
29/11/2019,8665.47
27/11/2019,8705.17
26/11/2019,8647.93
25/11/2019,8632.49
22/11/2019,8519.89
21/11/2019,8506.21
20/11/2019,8526.73
19/11/2019,8570.66
18/11/2019,8549.94
15/11/2019,8540.83
14/11/2019,8479.02
13/11/2019,8482.1
12/11/2019,8486.09
11/11/2019,8464.28
08/11/2019,8475.31
07/11/2019,8434.52
06/11/2019,8410.63
05/11/2019,8434.68
04/11/2019,8433.2
01/11/2019,8386.4
31/10/2019,8292.36
30/10/2019,8303.98
29/10/2019,8276.85
28/10/2019,8325.99
25/10/2019,8243.12
24/10/2019,8185.8
23/10/2019,8119.79
22/10/2019,8104.3
21/10/2019,8162.99
18/10/2019,8089.54
17/10/2019,8156.85
16/10/2019,8124.18
15/10/2019,8148.71
14/10/2019,8048.65
11/10/2019,8057.04
10/10/2019,7950.78
09/10/2019,7903.74
08/10/2019,7823.78
07/10/2019,7956.29
04/10/2019,7982.47
03/10/2019,7872.27
02/10/2019,7785.25
01/10/2019,7908.69
30/09/2019,7999.34
27/09/2019,7939.63
26/09/2019,8030.66
25/09/2019,8077.38
24/09/2019,7993.63
23/09/2019,8112.46
20/09/2019,8117.67
19/09/2019,8182.88
18/09/2019,8177.39
17/09/2019,8186.02
16/09/2019,8153.54
13/09/2019,8176.71
12/09/2019,8194.47
11/09/2019,8169.68
10/09/2019,8084.16
09/09/2019,8087.44
