0.236843651,-0.792738985,-0.79279166,-2.648569918,-1.032947007,-2.648283243,-0.932649109,-2.643911817,-0.932523498,-2.655911625,-1.106452095,-2.656058593,-1.046982469,-2.645320206,-1.047154605
0.253612806,-0.436617583,-0.79279166,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
0.267691582,-0.493752325,-0.436726736,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
0.265014264,-0.735881596,-0.493852417,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
0.294438645,-0.167862412,-0.735943288,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
0.290612039,-0.711474522,-0.168014188,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
0.271243927,-0.381424312,-0.711540085,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
0.259176404,-0.536464705,-0.381542219,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
0.311638783,-0.738377774,-0.566784718,0.002038117,0.424706135,-0.007548938,-0.349109551,0.011691194,-2.269299817,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
0.314786264,-0.725896884,-0.73843907,0.003682624,0.275739367,-0.000435521,0.537826702,0.007819172,-1.028468962,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
0.309496928,-0.680410973,-0.72596016,0.005348895,-0.170702293,0.008809698,1.210526652,0.001906218,-0.166686481,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
0.303985571,-0.67569597,-0.680481462,0.005390812,-0.824883486,0.011691194,-2.269299817,-0.000817628,0.363036681,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
0.290572859,-0.507897334,-0.675767207,0.002074024,-0.469319889,0.007819172,-1.028468962,-0.003594462,2.474061167,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
0.297821208,-0.638808005,-0.507995183,-0.001082489,0.160356666,0.001906218,-0.166686481,-0.004047999,0.493478251,0.001638404,-0.114103504,0.001801769,0.083785469,0.00147649,-0.426812777
0.309248787,-0.550055008,-0.638885092,-0.000770741,0.041843108,-0.000817628,0.363036681,-0.000723903,-0.058787954,0.001813081,-0.081553438,0.003666159,0.357054101,-2.15447E-05,0.00526288
0.305174039,-0.706204813,-0.55014617,-0.000678111,-0.214971836,-0.003594462,2.474061167,0.002248623,-0.094731805,0.001339022,-0.037480955,0.003001556,0.369516582,-0.00030497,-0.052273237
0.325717559,-0.356462532,-0.706271211,0.000373604,0.331220001,-0.004047999,0.493478251,0.00481703,0.217685757,0.001115828,0.094382212,0.00202401,0.300635199,0.000216396,0.283756435
0.317620304,-0.620780053,-0.356584397,0.001688093,0.622347079,-0.000723903,-0.058787954,0.004108456,0.483940449,0.001981243,0.041540155,0.003047334,0.111822136,0.000923155,0.433637384
