Date,Last Price,Log Returns,Scaled Prices
2004-12-10,2128.07,-0.009554458557692595,208.95183857823162
2004-12-09,2129.01,0.0004416172659554672,209.0441356964014
2004-12-08,2126.11,-0.0013630640024268135,208.7593892680053
2004-12-07,2114.66,-0.005399975864401032,207.63513181795867
2004-12-06,2151.25,0.01715502546926425,211.22784623692868
2004-12-03,2147.96,-0.0015305140443142265,210.90480632333447
2004-12-02,2143.57,-0.0020458911070213004,210.47375914379694
2004-12-01,2138.23,-0.002494279400502644,209.94943296185377
2004-11-30,2096.81,-0.019561241804015198,205.8824684569689
2004-11-29,2106.87,0.004786291632581651,206.87024399823258
2004-11-26,2101.97,-0.0023284335892174535,206.38912072266677
2004-11-24,2102.54,0.0002711374231443745,206.44508812411019
2004-11-23,2084.28,-0.008722665782482474,204.65216750945063
2004-11-22,2085.19,0.00043650632547968614,204.74151897491285
2004-11-19,2070.63,-0.007007069398304369,203.31189552751732
2004-11-18,2104.28,0.016120457070074864,206.61593598114783
2004-11-17,2099.68,-0.0021884137031954205,206.16426923265743
2004-11-16,2078.62,-0.010080740179077079,204.09642103196032
2004-11-15,2094.09,0.007414879480665003,205.6153959448181
2004-11-12,2085.34,-0.004187179966690897,204.75624723845058
2004-11-11,2061.27,-0.011609613805924911,202.39285188276298
2004-11-10,2034.56,-0.013042718394565346,199.77023908881142
2004-11-09,2043.33,0.004301250657063268,200.63135156365064
2004-11-08,2039.25,-0.0019987367587566652,200.23074279542442
2004-11-05,2038.94,-0.00015202822850182119,200.20030438411308
2004-11-04,2023.63,-0.007537136580055031,198.6970396190289
2004-11-03,2004.33,-0.009583088065419456,196.80200304384113
2004-11-02,1984.79,-0.009796725232826027,194.88340124699297
2004-11-01,1979.87,-0.002481929106449614,194.40031420295546
2004-10-29,1974.99,-0.002467850936173164,193.92115469586136
2004-10-28,1975.74,0.0003796766719110826,193.99479601354997
2004-10-27,1969.99,-0.002914545126156997,193.43021257793706
2004-10-26,1928.79,-0.021135603294214777,189.38484952624083
2004-10-25,1914.04,-0.0076766718466895634,187.93657027836417
2004-10-22,1915.14,0.000574535556050438,188.04457754430751
2004-10-21,1953.62,0.01989333482211003,191.82286808385288
2004-10-20,1932.97,-0.010626381643606096,189.79527713682555
2004-10-19,1922.9,-0.005223217014127091,188.80651971132602
2004-10-18,1936.52,0.007058084656112864,190.1438460405518
2004-10-15,1911.5,-0.01300427367618684,187.68717168245863
2004-10-14,1903.02,-0.0044461761740524075,186.85453385045903
2004-10-13,1920.53,0.009159091633587703,188.57381314742992
2004-10-12,1925.17,0.0024130859149457764,189.02940743286368
2004-10-11,1928.76,0.0018630338581011846,189.3819038735333
2004-10-08,1919.97,-0.00456774846929431,188.51882763022238
2004-10-07,1948.52,0.014760549132206865,191.3221071235701
2004-10-06,1971.03,0.011486138705076044,193.53232853846532
2004-10-05,1955.5,-0.007910333541469888,192.00746232019245
2004-10-04,1952.4,-0.0015865301825763727,191.7030782070794
2004-10-01,1942.2,-0.005238033852738728,190.7015562865138
2004-09-30,1896.84,-0.023632007482949267,186.24772939270457
2004-09-29,1893.94,-0.0015300284193429403,185.9629829643085
2004-09-28,1869.87,-0.012790405542444684,183.5995876086209
2004-09-27,1859.88,-0.005356940218556939,182.6186852570082
2004-09-24,1879.48,0.010483173322696108,184.54317835927142
2004-09-23,1886.43,0.0036910111448824,185.2255879031862
2004-09-22,1885.71,-0.0003817461752447741,185.15489223820512
2004-09-21,1921.18,0.01863517278687322,188.6376356227601
2004-09-20,1908.07,-0.006847320609882356,187.35038538956255
2004-09-17,1910.09,0.0010581013831071273,187.54872600520397
2004-09-16,1904.08,-0.003151409074039684,186.95861357945898
2004-09-15,1896.52,-0.00397832445984765,186.21630909715742
2004-09-14,1915.4,0.009905850272014783,188.0701065344396
2004-09-13,1910.38,-0.002624302955761778,187.5772006480436
2004-09-10,1894.31,-0.00844751901657867,185.9993126810349
2004-09-09,1869.65,-0.013103408559646873,183.57798615543228
2004-09-08,1850.64,-0.010219722362716758,181.7114242230841
2004-09-07,1858.56,0.0042704691234522855,182.48907653787617
2004-09-03,1844.48,-0.007604599385219304,181.10658353380137
2004-09-02,1873.43,0.015573580380759035,183.94913839658304
2004-09-01,1850.41,-0.01236373917225865,181.68884088565957
2004-08-31,1838.1,-0.006674806739829843,180.48014139132994
2004-08-30,1836.49,-0.0008762882950337339,180.32205802935832
2004-08-27,1862.09,0.013843371687746136,182.83568167313072
2004-08-26,1852.92,-0.004936739671657816,181.93529382885757
2004-08-25,1860.72,0.004200736458040186,182.70116353281946
2004-08-24,1836.89,-0.012889585396101607,180.36133339879228
2004-08-23,1838.7,0.0009848759770842363,180.53905444548087
2004-08-20,1838.02,-0.00036989491054711254,180.47228631744318
2004-08-19,1819.89,-0.00991284556539096,178.69213019784968
2004-08-18,1831.37,0.006288260944826829,179.81933330060386
2004-08-17,1795.25,-0.01992003263825762,176.27276744071872
2004-08-16,1782.84,-0.006936689553165071,175.05424910403062
2004-08-13,1757.22,-0.01447458365672569,172.53866169178653
2004-08-12,1752.49,-0.002695381022165169,172.07423044823014
2004-08-11,1782.42,0.016934357737493775,175.013009966125
2004-08-10,1808.7,0.014636363667604981,177.5934017379351
2004-08-09,1774.64,-0.01901076972549088,174.24910403063478
2004-08-06,1776.89,0.0012670597184988822,174.47002798370073
2004-08-05,1821.63,0.02486705949564748,178.86297805488732
2004-08-04,1855.06,0.018185335879798897,182.14541705532918
2004-08-03,1859.42,0.0023475705898870045,182.57351858215915
2004-08-02,1892.09,0.017417427069016868,185.7813343806765
2004-07-30,1887.36,-0.0025030110039710226,185.31690313712014
2004-07-29,1881.06,-0.0033435794679195674,184.69831606853552
2004-07-28,1858.26,-0.012194881720775916,182.4596200108007
2004-07-27,1869.1,0.005816465573970988,183.52398252246059
2004-07-26,1839.02,-0.016224210551146503,180.57047474102802
2004-07-23,1849.09,0.005460805140989333,181.55923216652755
2004-07-22,1889.06,0.021385724672586582,185.48382345721438
2004-07-21,1874.37,-0.007806747890697851,184.04143551475278
2004-07-20,1917.07,0.02252537582373825,188.23408120182629
2004-07-19,1883.83,-0.01749104024823253,184.9702980018656
2004-07-16,1883.15,-0.00036103191808076684,184.90352987382786
2004-07-15,1912.71,0.015575177992961545,187.8059796749963
2004-07-14,1914.88,0.0011338728716981823,188.01904855417547
2004-07-13,1931.66,0.008724779382759968,189.6666503019294
2004-07-12,1936.92,0.0027193457244803734,190.18312140998577
2004-07-09,1946.33,0.004846465418748372,191.1070744759193
2004-07-08,1935.32,-0.005672860523936736,190.02601993224997
2004-07-07,1966.08,0.015769025171142977,193.04629584172025
2004-07-06,1963.43,-0.0013487688804634022,192.7860965192204
2004-07-02,2006.66,0.021778704611422273,197.03078207079386
2004-07-01,2015.55,0.0044204626194262716,197.90367715646323
2004-06-30,2047.79,0.015869051849880952,201.06927193283911
2004-06-29,2034.93,-0.006299742588737853,199.8065688055378
2004-06-28,2019.82,-0.007453021736746944,198.3229417251706
2004-06-25,2025.47,0.0027933738613957395,198.87770631842506
2004-06-24,2015.57,-0.004899738585180345,197.90564092493494
2004-06-23,2020.98,0.0026805084734705673,198.43684029652903
2004-06-22,1994.15,-0.013364647894104945,195.80244489174729
2004-06-21,1974.38,-0.009963469369385471,193.86125975747458
2004-06-18,1986.73,0.006235646077665922,195.0738867887476
2004-06-17,1983.67,-0.0015414067126049555,194.77343021257795
2004-06-16,1998.23,0.007313124333196591,196.20305365997348
2004-06-15,1995.6,-0.001317031711495317,195.94481810594527
2004-06-14,1969.99,-0.012916290409863708,193.43021257793706
2004-06-10,1999.87,0.0150537118524721,196.36408267465265
2004-06-09,1990.61,-0.004641054019174416,195.45485787225684
2004-06-08,2023.53,0.016402386592589323,198.68722077667042
2004-06-07,2020.62,-0.0014391160081752578,198.40149246403845
2004-06-04,1978.62,-0.021004762999412646,194.27757867347438
2004-06-03,1960.26,-0.009322514507169956,192.47483921645636
2004-06-02,1988.98,0.014544827011096178,195.29481074181354
2004-06-01,1990.77,0.0008995540527445427,195.4705680200304
2004-05-28,1986.74,-0.002026394090284186,195.07486867298346
